id,name,lat,lon,asset_type,replacement_value,construction_material,year_built,stories,basement,roof_type,first_floor_height_m,terrain_elevation_asl_m,floor_area_m2,region,sector,scope1_emissions_tco2,scope2_emissions_tco2,scope3_emissions_tco2,annual_revenue
SAM001,Manhattan Financial Tower,40.7074,-74.0113,commercial_office,125000000,steel,2001,42,True,flat,1.2,10,32000,USA,real_estate_commercial,150,2200,0,18000000
SAM002,Miami Oceanfront Resort,25.7617,-80.1918,hotel_resort,48000000,concrete,1998,12,False,flat,0.6,2,9500,USA,real_estate_commercial,300,1100,0,12000000
SAM003,Houston Petrochemical Plant,29.7604,-95.3698,industrial_heavy,185000000,concrete,1982,4,False,flat,1.5,15,28000,USA,chemicals,420000,80000,650000,520000000
SAM004,Los Angeles Office Campus,34.0522,-118.2437,commercial_office,62000000,steel,2005,8,False,flat,0.3,90,18000,USA,real_estate_commercial,80,950,0,9000000
SAM005,San Francisco Bay Area Data Centre,37.7749,-122.4194,data_center,95000000,concrete,2015,3,False,flat,0.6,16,6000,USA,data_center,40,38000,0,42000000
SAM006,Amsterdam Polder Logistics Hub,52.3676,4.9041,commercial_warehouse,22000000,steel,2008,1,False,flat,0.0,-2,35000,NLD,services,40,650,0,4000000
SAM007,Rotterdam Port Terminal,51.9244,4.4777,infrastructure_port,75000000,concrete,1995,1,False,flat,0.0,0,0,NLD,shipping,8500,1200,0,32000000
SAM008,London Canary Wharf Tower,51.5055,-0.0250,commercial_office,210000000,concrete,2002,50,True,flat,1.0,6,42000,GBR,real_estate_commercial,260,3600,0,28000000
SAM009,Thames Valley Residential Block,51.4607,-0.9238,residential_masonry,8500000,masonry,1968,5,False,flat,0.3,45,3200,GBR,real_estate_residential,12,80,0,300000
SAM010,Paris La Défense Commercial Tower,48.8917,2.236,commercial_concrete,145000000,concrete,2010,35,True,flat,0.8,62,30000,FRA,real_estate_commercial,180,2500,0,21000000
SAM011,Rhine Valley Industrial Factory,51.3397,6.875,industrial_steel,31000000,steel,1990,2,False,flat,0.5,30,22000,DEU,manufacturing_general,8200,4500,12000,38000000
SAM012,Singapore Marina Bay Office,1.2839,103.8607,commercial_office,88000000,steel,2012,38,True,flat,1.5,5,25000,SGP,real_estate_commercial,100,2400,0,13000000
SAM013,Mumbai Coastal Mixed-Use Tower,19.076,72.8777,mixed_use,35000000,concrete,2008,25,True,flat,0.5,8,18000,IND,real_estate_commercial,180,1900,0,5000000
SAM014,Tokyo Shinjuku Office Block,35.6895,139.6917,commercial_office,92000000,concrete,2003,20,True,flat,0.8,38,16000,JPN,real_estate_commercial,120,1800,0,14000000
SAM015,Dubai Internet City Data Centre,25.0942,55.1533,data_center,120000000,concrete,2018,4,False,flat,1.0,12,8000,ARE,data_center,55,55000,0,55000000
SAM016,Sydney Bush Interface Residential,33.7295,151.2862,residential_wood,1850000,wood_frame,1975,2,False,gable,0.3,85,180,AUS,real_estate_residential,2,8,0,80000
SAM017,Melbourne CBD Commercial Tower,-37.8136,144.9631,commercial_concrete,67000000,concrete,1999,22,True,flat,0.5,25,18000,AUS,real_estate_commercial,90,1100,0,9500000
SAM018,São Paulo Industrial Complex,-23.5505,-46.6333,industrial_steel,28000000,steel,1985,2,False,flat,0.3,760,20000,BRA,steel,18000,2200,32000,42000000
SAM019,Jakarta Flood Pumping Station,-6.2088,106.8456,infrastructure_utility,18000000,steel,2005,1,False,flat,0.0,5,400,IDN,services,30,800,0,1500000
SAM020,Cape Town Mixed-Use Development,-33.9249,18.4241,mixed_use,42000000,concrete,2016,8,False,flat,0.5,15,12000,ZAF,real_estate_commercial,80,1200,0,5500000
